commodity,treatment_group,treated,units,rows
beef,beef,True,8,990
beverages,control_non_meat,False,8,962
dairy,dairy_cattle,True,8,1018
eggs,control_animal_products,False,8,581
fats_oils,control_non_meat,False,8,867
fish_seafood,control_fish_seafood,False,8,977
fruit_vegetables,control_non_meat,False,8,1006
grains_bread,control_non_meat,False,8,984
lamb_sheep_goat,lamb_sheep_goat,True,8,758
mixed_meat,mixed_livestock,True,8,918
plant_protein,control_non_meat,False,8,639
pork,pork,True,8,1003
poultry,control_poultry,False,8,1006
sweets_snacks,control_non_meat,False,8,1010
