term,estimate,std_error,conf_low,conf_high,t_stat,p_value,relative_time,pre_period
-8,-0.06868601769906288,0.015591657318285894,-0.09924566604290323,-0.038126369355222525,-4.405305754027054,1.0563477385748767e-05,-8,True
-7,-0.03804374061481744,0.009757420052269674,-0.057168283917266,-0.01891919731236888,-3.8989548887944085,9.660876946206451e-05,-7,True
-6,-0.03707586919815917,0.009350623384333281,-0.0554030910314524,-0.018748647364865936,-3.9650692445039324,7.337464387835674e-05,-6,True
-5,-0.013127410858756825,0.009191247112606575,-0.031142255199465712,0.004887433481952062,-1.4282513241050248,0.153219532746866,-5,True
-4,0.011428422090834063,0.007924555847732995,-0.004103707370722607,0.026960551552390733,1.442153012790418,0.1492592125890832,-4,True
-3,-0.005471600997101936,0.007234569420119128,-0.019651357060535425,0.008708155066331554,-0.756313289618256,0.4494613820506634,-3,True
-2,0.002009343286323177,0.008212768084870646,-0.014087682160023287,0.01810636873266964,0.24466090671971352,0.8067190000951715,-2,True
-1,0.0,,,,,,-1,True
1,0.00532084664237319,0.007828989892215494,-0.010023973546369178,0.020665666831115558,0.6796338628133629,0.496736322637529,1,False
2,-0.003239518207125036,0.008391945049610506,-0.01968773050436163,0.013208694090111557,-0.3860270995548751,0.6994765988742039,2,False
3,-0.28222491693275437,0.055427468878501265,-0.39086275593461683,-0.1735870779308919,-5.091787928317639,3.5470271318463604e-07,3,False
4,0.007060758583828302,0.008832895602913865,-0.010251716797882872,0.024373233965539476,0.7993707727621102,0.4240754525466407,4,False
5,0.007908399847999747,0.009541874444145431,-0.010793674062525297,0.02661047375852479,0.828809883665161,0.40721199458195767,5,False
6,0.017523665040110152,0.009676525258283542,-0.0014423244661255913,0.036489654546345895,1.8109460340744838,0.0701492057472662,6,False
7,0.008479992637711029,0.009805976056926098,-0.010739720433864123,0.02769970570928618,0.8647780280598881,0.3871606329799069,7,False
8,-0.030995816202661314,0.010047929078970784,-0.05068975719744405,-0.011301875207878578,-3.084796474880796,0.002036914865734317,8,False
9,-0.01452534172946775,0.01025831874781188,-0.03463164647517904,0.005580963016243536,-1.4159573402382368,0.15678799494517837,9,False
10,0.015405704630170165,0.010135100585575525,-0.0044590925175578625,0.03527050177789819,1.520034705141049,0.12850225345004185,10,False
11,-0.03776995366941679,0.011917405302733004,-0.061128068062773475,-0.014411839276060101,-3.1693101568640154,0.0015280124268180694,11,False
12,0.020463149873199325,0.00923156173601976,0.0023692888706005957,0.038557010875798055,2.2166509262843457,0.02664695465219779,12,False
13,0.01269534610504874,0.01028855010745935,-0.007470212105571583,0.032860904315669064,1.233929559797199,0.2172291535154636,13,False
14,-0.007067142659610403,0.010761842441726033,-0.028160353845393428,0.014026068526172622,-0.6566852003156574,0.5113833525176144,14,False
15,-0.008158436254361148,0.011127232963010433,-0.029967812861861596,0.0136509403531393,-0.7331954207736757,0.46343924789165825,15,False
16,-0.01978598256750236,0.010766105048310009,-0.040887548462189977,0.0013155833271852532,-1.83780322398101,0.06609140640537353,16,False
17,-0.017044801076217315,0.010583795036833571,-0.037789039348411116,0.0036994371959764814,-1.6104621278944127,0.10729700689750703,17,False
18,0.035313714861730336,0.010602755668179047,0.014532313752099405,0.05609511597136127,3.3306166780503803,0.0008665383927410132,18,False
19,0.012979688383940684,0.010164781079145847,-0.006943282531185174,0.03290265929906654,1.2769274894242362,0.20162784804259626,19,False
20,0.0059563208193491,0.011314344948146133,-0.016219795279017322,0.028132436917715522,0.5264397405812742,0.5985827099824563,20,False
21,0.0028360734691413973,0.010720642843334715,-0.018176386503794644,0.02384853344207744,0.2645432284785658,0.7913613593177722,21,False
22,0.020619210275856274,0.011518763669146644,-0.001957566515671149,0.0431959870673837,1.7900541124118599,0.07344521269561392,22,False
23,-0.0021772657279083146,0.010653900274825507,-0.02305891026656631,0.01870437881074968,-0.2043632539956335,0.8380696432484409,23,False
24,0.01942040861238356,0.018233923535971443,-0.01631808151812047,0.05515889874288759,1.0650702013788447,0.28684416279473823,24,False
